model,words,sentences,words_per_sentence,passive_voice,active_voice,pronouns,nominalization,nouns,flesch_reading_ease,flesch_kincaid_grade,automated_readability_index,coleman_liau_index,gunning_fog_index,lix,rix,smog_index,dale_chall_readability,complex_words_dc,complex_words,long_words
agentic_gemini_2_5_pro,567.15,32.73,17.48,12.05,59.57,35.07,17.92,153.56,58.78,9.4,9.47,10.16,13.54,44.64,4.74,12.42,6.65,207.12,92.02,152.8
agentic_gpt_oss_120b,622.5,31.62,19.8,14.37,64.15,33.24,21.29,177.8,52.66,10.83,11.0,10.82,16.32,49.21,5.82,13.87,7.75,266.55,130.59,182.99
agentic_llama_3_3_70b,497.14,25.26,19.85,10.89,46.97,23.49,19.93,148.66,42.72,12.23,12.46,12.59,16.91,53.08,6.6,13.41,7.54,207.16,112.08,165.9
agentic_llama_3_3_70b_evaluator_gemini_2_5_flash,514.41,29.37,17.62,9.57,54.74,32.64,17.86,143.63,54.97,9.97,10.13,10.91,14.24,46.69,5.11,12.48,6.84,194.28,92.17,148.95
agentic_llama_3_2_3b,536.38,27.83,19.79,15.73,40.84,17.42,25.17,162.41,37.95,12.93,12.72,12.65,17.57,54.41,6.95,14.06,7.96,239.07,130.42,187.85
agentic_gpt_oss_20b,632.11,33.41,18.88,15.47,65.61,32.76,20.92,179.55,53.76,10.5,10.27,10.14,15.78,47.78,5.51,13.84,7.74,275.15,131.01,183.65
agentic_old_gemini_2_5_pro,590.55,36.1,16.53,11.49,63.2,40.19,17.68,159.35,63.16,8.56,8.49,9.42,12.51,42.02,4.21,12.16,6.39,208.0,86.35,149.57
agentic_old_gpt_5,878.68,45.6,19.49,21.67,92.9,44.73,25.89,278.74,51.14,10.97,11.59,11.71,15.12,48.34,5.61,15.5,7.71,375.02,160.88,253.35
agentic_old_gpt-oss-120B,742.88,37.7,19.8,18.73,75.59,39.1,25.68,218.46,51.08,11.05,11.25,11.12,16.55,49.62,5.91,15.03,8.01,330.97,160.5,221.94
baseline_gemini_2_5_pro,660.65,41.64,16.05,14.75,66.43,45.52,19.05,171.8,64.45,8.26,8.01,9.07,12.38,41.21,4.02,12.74,6.53,240.15,98.59,166.07
baseline_gpt_5,866.36,48.69,17.9,18.59,90.29,46.74,22.09,249.45,57.97,9.62,9.89,10.46,13.49,45.08,4.87,14.62,6.74,321.4,136.71,235.15
baseline_gpt_oss_120b,622.57,32.47,19.34,14.17,63.93,35.52,19.92,160.3,59.1,9.82,9.94,9.74,14.76,45.98,5.15,12.96,6.77,229.3,109.29,165.78
baseline_gpt_oss_20b,540.83,27.52,19.31,12.18,57.55,32.31,16.08,141.26,58.28,10.17,8.89,7.08,13.85,44.24,5.04,11.84,6.32,193.89,87.96,141.78
baseline_llama_3_3_70b,477.08,21.65,22.23,9.51,44.43,29.26,19.56,130.86,48.55,12.01,12.31,11.05,16.89,51.89,6.57,12.65,6.87,173.9,95.13,141.06
baseline_llama_3_2_3b,476.99,31.4,15.28,11.94,38.27,25.36,19.09,127.76,53.56,9.58,8.95,10.6,14.32,45.81,4.68,12.88,6.82,185.0,98.34,145.72
original,868.22,33.82,26.04,24.56,49.85,20.42,43.35,278.62,42.12,13.85,14.07,11.11,20.39,59.26,8.6,17.37,8.75,411.69,215.47,285.83
reference,654.8,33.08,20.08,19.64,57.95,35.01,25.02,187.5,49.23,11.38,11.46,11.21,16.21,50.35,6.07,14.23,7.37,263.36,133.12,197.0
